i,st,t,value
UPV,UT,2026,525
UPV,UT,2027,700
UPV,UT,2028,0
UPV,UT,2029,0
UPV,UT,2030,0
UPV,UT,2031,480
UPV,UT,2032,0
UPV,UT,2033,0
UPV,UT,2034,0
UPV,UT,2035,0
UPV,UT,2036,0
UPV,UT,2037,0
UPV,UT,2038,0
UPV,UT,2039,0
UPV,UT,2040,0
UPV,UT,2041,0
UPV,UT,2042,0
UPV,UT,2043,0
UPV,UT,2044,0
UPV,UT,2045,0
ONSWIND,UT,2026,0
ONSWIND,UT,2027,0
ONSWIND,UT,2028,0
ONSWIND,UT,2029,0
ONSWIND,UT,2030,0
ONSWIND,UT,2031,0
ONSWIND,UT,2032,0
ONSWIND,UT,2033,0
ONSWIND,UT,2034,0
ONSWIND,UT,2035,0
ONSWIND,UT,2036,0
ONSWIND,UT,2037,0
ONSWIND,UT,2038,0
ONSWIND,UT,2039,0
ONSWIND,UT,2040,0
ONSWIND,UT,2041,0
ONSWIND,UT,2042,0
ONSWIND,UT,2043,0
ONSWIND,UT,2044,0
ONSWIND,UT,2045,0
STORAGE,UT,2026,670
STORAGE,UT,2027,400
STORAGE,UT,2028,0
STORAGE,UT,2029,0
STORAGE,UT,2030,0
STORAGE,UT,2031,0
STORAGE,UT,2032,0
STORAGE,UT,2033,0
STORAGE,UT,2034,0
STORAGE,UT,2035,0
STORAGE,UT,2036,0
STORAGE,UT,2037,0
STORAGE,UT,2038,0
STORAGE,UT,2039,0
STORAGE,UT,2040,0
STORAGE,UT,2041,0
STORAGE,UT,2042,371
STORAGE,UT,2043,0
STORAGE,UT,2044,225
STORAGE,UT,2045,286
GAS_CT,UT,2026,0
GAS_CT,UT,2027,0
GAS_CT,UT,2028,0
GAS_CT,UT,2029,0
GAS_CT,UT,2030,0
GAS_CT,UT,2031,0
GAS_CT,UT,2032,0
GAS_CT,UT,2033,0
GAS_CT,UT,2034,0
GAS_CT,UT,2035,0
GAS_CT,UT,2036,0
GAS_CT,UT,2037,0
GAS_CT,UT,2038,0
GAS_CT,UT,2039,0
GAS_CT,UT,2040,0
GAS_CT,UT,2041,0
GAS_CT,UT,2042,0
GAS_CT,UT,2043,0
GAS_CT,UT,2044,0
GAS_CT,UT,2045,0
